row_index,original_text,detected_entities,entity_types,confidence_scores
3625,"E, Bythesea Rd, Trowbridge BA14 8FZ, UK",PERSON:Bythesea Rd; LOCATION:Trowbridge; DATE_TIME:8FZ; LOCATION:UK,PERSON; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3626,"Unit 7, Dragonville Retail Park, Dragon Ln, Durham DH1 2WP, UK",LOCATION:Dragonville Retail Park; PERSON:Dragon Ln; LOCATION:Durham; LOCATION:UK,LOCATION; PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
3627,"Inside Sainsburys, k, Arnison Retail Centre Argos, Durham DH1 5GD, United Kingdom",LOCATION:Durham; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
3628,"Unit 6, Durham City Retail Park McIntyre Way, Dragonville Industrial Estate, Durham DH1 2RP, United Kingdom",LOCATION:Durham City Retail; LOCATION:Durham; LOCATION:United Kingdom,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3629,"Unit 24, The Gates Shopping Centre, 88 North Road, Durham DH1 4SP, United Kingdom",DATE_TIME:24; LOCATION:North Road; LOCATION:Durham; LOCATION:United Kingdom,DATE_TIME; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
3630,"Rotary Way Unit A Arnison Retail Park, Durham Arnison Centre DH1 5GB, United Kingdom",LOCATION:GB; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
3631,"121 Front St, Chester-le-Street, Chester le Street DH3 3BL, UK",LOCATION:UK,LOCATION,0.850
3632,"Market Pl, Sidmouth EX10 8AR, UK",DATE_TIME:8AR; LOCATION:UK,DATE_TIME; LOCATION,0.850; 0.850
3633,"35 High St, Exeter EX4 3LW, UK",LOCATION:Exeter; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3634,"1-11 Sidwell St, Exeter EX4 6NN, UK",LOCATION:Exeter; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3635,"9 Bedford St, Exeter EX1 1GG, UK",LOCATION:Bedford St; LOCATION:Exeter; DATE_TIME:1GG; LOCATION:UK,LOCATION; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3636,"6A, Stone Lane Retail Park, Marsh Barton Rd, Exeter EX2 8LH, UK",LOCATION:Marsh Barton Rd; LOCATION:Exeter; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3637,"2, Heathpark Industrial Estate, Heathpark Way, Honiton EX14 1BB, UK",PERSON:Heathpark Way; LOCATION:Honiton EX14 1BB; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
3638,"Hind St, Ottery Saint Mary EX11 1BW, UK",PERSON:Hind St; PERSON:Ottery Saint Mary; DATE_TIME:1BW; LOCATION:UK,PERSON; PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3639,"Trinity Square, Axminster EX13 5NH, United Kingdom",PERSON:Axminster; DATE_TIME:5NH; LOCATION:United Kingdom,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3640,"1 Hill Barton Rd, Exeter EX1 3PF, UK",PERSON:Hill Barton Rd; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3641,"211 High St, Exeter EX4 3QA, UK",LOCATION:UK,LOCATION,0.850
3642,"180/182 Sidwell St, Exeter EX4 6RD, UK",PERSON:Sidwell St; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3643,"8 Harbour Rd, Thompson Street, Seaton EX12 2LS, UK",LOCATION:Thompson Street; LOCATION:Seaton EX12; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3644,"41-43 Parade, Exmouth EX8 1RH, UK",DATE_TIME:41-43 Parade; LOCATION:Exmouth; DATE_TIME:1RH; LOCATION:UK,DATE_TIME; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3645,"Unit 3, The Exebridge Centre, Exeter EX4 1AH, UK",LOCATION:UK,LOCATION,0.850
3646,"29, High St, Exeter EX4 3HP, UK",LOCATION:High St; LOCATION:Exeter; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3647,"Holyrood St, Chard TA20 2AJ, UK",LOCATION:Holyrood St; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3648,"Great Western Rd, Chard TA20 1EQ, UK",LOCATION:Great Western Rd; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3649,"5/7, Lace Walk, Honiton EX14 1LR, UK",LOCATION:Honiton; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3650,"Dart Farm Village, Topsham, Exeter EX3 0QH, UK",LOCATION:Topsham; LOCATION:Exeter; DATE_TIME:0QH; LOCATION:UK,LOCATION; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3651,"91 High St, Sidmouth EX10 8LD, UK",DATE_TIME:8LD; LOCATION:UK,DATE_TIME; LOCATION,0.850; 0.850
3652,"Cowbridge Rd, Talbot Green, Pontyclun CF72 8XU, UK",PERSON:Cowbridge Rd; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3653,"Talbot Green Shopping Park, Unit 7, Talbot Green, Pontyclun CF72 8RB, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
3654,"13, Talbot Green Retail Park Talbot Green, Parc Manwerthu CF72 8LW, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
3655,"Unit 1, Talbot Green Retail Park, Llantrisant CF72 8SY, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
3656,"114 Islington High St, The Angel, London N1 8EG, UK",LOCATION:London; LOCATION:UK; US_DRIVER_LICENSE:N1,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
3657,"The Shopping Centre, Angel Central, 21 Parkfield St, London N1 0PS, United Kingdom",LOCATION:Parkfield St; LOCATION:London; LOCATION:United Kingdom; US_DRIVER_LICENSE:N1,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3658,"5 Liverpool Rd, The Angel, London N1 0RR, UK",LOCATION:London; LOCATION:UK; US_DRIVER_LICENSE:N1,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
3659,"384 - 400 Holloway Rd, London N7 6PR, UK",LOCATION:Holloway Rd; LOCATION:London; LOCATION:UK; US_DRIVER_LICENSE:N7,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3660,"402 Holloway Rd, London N7 6PR, UK",PERSON:Holloway Rd; LOCATION:London; LOCATION:UK; US_DRIVER_LICENSE:N7,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3661,"422 Holloway Rd, London N7 6QD, UK",PERSON:Holloway Rd; LOCATION:London; LOCATION:UK; US_DRIVER_LICENSE:N7,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3662,"189-197 Old St, London EC1V 9JS, UK",LOCATION:London; DATE_TIME:9JS; LOCATION:UK,LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3663,"368-374 Holloway Rd, London N7 6PN, UK",PERSON:Holloway Rd; LOCATION:London; LOCATION:UK; US_DRIVER_LICENSE:N7,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3664,"56 St John St, Perth PH1 5SN, UK",PERSON:St John St; LOCATION:Perth; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
3665,"52-62 High St, Perth PH1 5TH, UK",LOCATION:Perth; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3666,"116-128 High St, Perth PH1 5UL, UK",LOCATION:Perth; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3667,"75-85 High St, Perth PH1 5TJ, UK",LOCATION:Perth; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3668,"Highland Gateway, Ruthvenfield Rd, Perth PH1 3EE, UK",LOCATION:Highland Gateway; LOCATION:Ruthvenfield Rd; LOCATION:Perth; LOCATION:UK,LOCATION; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
3669,"Pitagowan, Blair Atholl PH18 5TW, UK",PERSON:Pitagowan; PERSON:Blair Atholl; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
3670,"St Catherines Retail Park, Dunkeld Rd, Perth PH1 5XA, UK",LOCATION:Perth; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3671,"James St, Dunfermline KY12 7QA, UK",PERSON:James St; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3672,"8-12 Moss Rd Sterling Mills Outlet Shopping Village, Tillicoultry FK13 6HQ, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
3673,"66-68 High St, Blairgowrie PH10 6DA, UK",LOCATION:UK,LOCATION,0.850
3674,"Unit 7A, Halbeath Retail Park, Halbeath Rd, Dunfermline KY11 4LP, United Kingdom",PERSON:Halbeath Rd; LOCATION:United Kingdom,PERSON; LOCATION,0.850; 0.850
3675,"9 The Square, Aberfeldy PH15 2DD, UK",LOCATION:UK,LOCATION,0.850
3676,"118 High St, Dunfermline KY12 7DP, UK",NRP:Dunfermline; LOCATION:UK,NRP; LOCATION,0.850; 0.850
3677,"Woodend Pl, Cowdenbeath KY4 8EE, UK",DATE_TIME:8EE; LOCATION:UK,DATE_TIME; LOCATION,0.850; 0.850
3678,"Station Rd, Pitlochry PH16 5AF, UK",LOCATION:UK,LOCATION,0.850
3679,"Dunfermline, Lower Ground 13, Kingsgate Shopping Centre, Fife KY12 7QU, United Kingdom",LOCATION:Lower Ground 13; LOCATION:Fife; DATE_TIME:7QU; LOCATION:United Kingdom,LOCATION; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3680,"29 Rosebank, Dunfermline KY11 4BD, UK",LOCATION:UK,LOCATION,0.850
3681,"Saint Catherines Retail Park, St Catherine's Rd, Perth PH1 5XA, UK",LOCATION:St Catherine's Rd; LOCATION:Perth; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3682,"Unit 6 The Stack Shopping & Leisure Park, Harefield Rd, Dundee DD2 3XN, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
3683,"Kingsgate Shopping Centre, James St, Dunfermline KY12 7QA, United Kingdom",PERSON:James St; LOCATION:United Kingdom,PERSON; LOCATION,0.850; 0.850
3684,"74-76 New Rd, Gravesend DA11 0AF, UK",LOCATION:UK,LOCATION,0.850
3685,"2-4 New Rd, Gravesend DA11 0AA, UK",LOCATION:Gravesend; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3686,"Kempthorne Street, 5, Gravesend DA11 0TA, United Kingdom",DATE_TIME:5; LOCATION:Gravesend; DATE_TIME:0TA; LOCATION:United Kingdom,DATE_TIME; LOCATION; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3687,"5-6, Thames Way, Gravesend DA11 0AU, UK",LOCATION:Thames Way; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3688,"Wingfield Bank, Springhead Rd, Northfleet, Gravesend DA11 8JH, UK",LOCATION:Northfleet; LOCATION:Gravesend; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3689,"74-76 New Rd, Gravesend DA11 0AF, UK",LOCATION:UK,LOCATION,0.850
3690,"33 The Mall, Grays RM17 6QF, UK",LOCATION:UK,LOCATION,0.850
3691,"42 High St, Grays RM17 6NA, UK",LOCATION:UK,LOCATION,0.850
3692,"45-51 High St, Grays RM16 5UF, UK",LOCATION:UK,LOCATION,0.850
3693,"Strood Retail Park, B2, Commercial Rd, Rochester ME2 2AB, United Kingdom",LOCATION:United Kingdom; US_DRIVER_LICENSE:B2,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
3694,"Bluewater Pkwy, Dartford, Greenhithe DA9 9SD, UK",LOCATION:Dartford; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3695,"Lakeside Shopping Centre, W Thurrock Way, Grays RM20 2ZR, United Kingdom",LOCATION:W Thurrock Way; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
3696,"Bluewater Pkwy, Dartford, Greenhithe DA9 9SA, UK",LOCATION:Dartford; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3697,"Lakeside Retail Park, B1A RM20 1WN, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
3698,"Arterial Rd West Thurrock, Grays RM20 2ZQ, UK",LOCATION:Grays; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3699,"W Thurrock Way, Grays RM20 2ZQ, UK",LOCATION:UK,LOCATION,0.850
3700,"Howard Rd, Chafford Hundred, Grays RM16 6YJ, UK",PERSON:Howard Rd; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3701,"Bluewater Shopping Centre, Greenhithe DA9 9SB, United Kingdom",LOCATION:United Kingdom,LOCATION,0.850
3702,"70 W Thurrock Way, Grays RM20 2ZG, UK",LOCATION:UK,LOCATION,0.850
3703,"Lakeside Retail Park, Unit E1, Grays RM20 3WP, UK",LOCATION:Grays; LOCATION:UK; US_DRIVER_LICENSE:E1,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
3704,"21 New Cathedral Street, Manchester M1 1AD, UK",LOCATION:UK; US_DRIVER_LICENSE:M1,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
3705,"Market St, Manchester M60 1TA, UK",LOCATION:Market St; LOCATION:Manchester; LOCATION:UK; US_DRIVER_LICENSE:M60,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3706,"1, Exchange Square Central, Corporation St, Manchester M3 1BD, United Kingdom",LOCATION:Corporation St; LOCATION:Manchester M3; LOCATION:United Kingdom; US_DRIVER_LICENSE:M3,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3707,"7 Market St, Manchester M1 1WT, UK",LOCATION:Market St; LOCATION:UK; US_DRIVER_LICENSE:M1,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
3708,"URBAN EXCHANGE MANCHESTER, 4 Great Ancoats St, Manchester M4 6DE, UK",PERSON:Great Ancoats St; LOCATION:Manchester M4 6DE; LOCATION:UK; US_DRIVER_LICENSE:M4,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3709,"21-23, King St, Manchester M2 6AW, UK",LOCATION:King St; LOCATION:Manchester M2 6AW; LOCATION:UK; US_DRIVER_LICENSE:M2,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3710,"9/10 Manchester Fort Shopping Park, 10 Cheetham Hill Rd, Manchester M8 8EP, United Kingdom",LOCATION:Manchester Fort Shopping Park; LOCATION:Cheetham Hill Rd; LOCATION:United Kingdom; US_DRIVER_LICENSE:M8; DATE_TIME:9/10,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE; DATE_TIME,0.850; 0.850; 0.850; 0.300; 0.100
3711,"The Trafford Centre, Stretford, Manchester M17 8DA, UK",LOCATION:Stretford; LOCATION:Manchester; LOCATION:UK; US_DRIVER_LICENSE:M17,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3712,"1 Exchange Square, Central, Manchester M3 1BD, UK",LOCATION:UK; US_DRIVER_LICENSE:M3,LOCATION; US_DRIVER_LICENSE,0.850; 0.300
3713,"Wickentree Ln, Failsworth, Manchester M35 9BA, UK",PERSON:Wickentree Ln; PERSON:Failsworth; LOCATION:UK; US_DRIVER_LICENSE:M35,PERSON; PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3714,"34, Spinning Gate Shopping Centre, Greater Manchester WN7 4PG, UK",LOCATION:Greater Manchester; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3715,"Unit 7A, Cheetham Hill Rd, Manchester M8 8EP, United Kingdom",LOCATION:Cheetham Hill Rd; LOCATION:United Kingdom; US_DRIVER_LICENSE:M8,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
3716,"98-116 Deansgate, Manchester M3 2GQ, UK",LOCATION:Manchester; LOCATION:UK; US_DRIVER_LICENSE:M3,LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
3717,"Dawson St, Greater Manchester, Heywood OL10 4PN, UK",LOCATION:Dawson St; LOCATION:Greater Manchester; LOCATION:Heywood; LOCATION:UK,LOCATION; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
3718,"Manchester Arndale, Units R10-R19, Marsden Way South, The, Manchester M4 3AT, United Kingdom",LOCATION:Manchester; PERSON:Marsden Way South; LOCATION:United Kingdom; US_DRIVER_LICENSE:R10; US_DRIVER_LICENSE:R19; US_DRIVER_LICENSE:M4,LOCATION; PERSON; LOCATION; US_DRIVER_LICENSE; US_DRIVER_LICENSE; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300; 0.300; 0.300
3719,"The Trafford Centre The Dome, Stamford New Rd, Manchester M17 8DA, United Kingdom",LOCATION:Dome; LOCATION:Stamford; LOCATION:Manchester; LOCATION:United Kingdom; US_DRIVER_LICENSE:M17,LOCATION; LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.850; 0.300
3720,"347 Wilmslow Rd, Manchester M14 6SS, UK",PERSON:Wilmslow Rd; LOCATION:Manchester; LOCATION:UK; US_DRIVER_LICENSE:M14,PERSON; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3721,"31-33 Raven Way, Salford M6 5LH, UK",PERSON:Raven Way; LOCATION:UK; US_DRIVER_LICENSE:M6,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
3722,"1/2 Hulme High St, Manchester M15 5AS, UK",PERSON:Hulme High St; LOCATION:UK; US_DRIVER_LICENSE:M15,PERSON; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.300
3723,"Arndale Centre, 93-94 Stretford Mall, Chester Rd, Stretford, Manchester M32 9BD, UK",LOCATION:Chester Rd; LOCATION:Stretford; LOCATION:UK; US_DRIVER_LICENSE:M32,LOCATION; LOCATION; LOCATION; US_DRIVER_LICENSE,0.850; 0.850; 0.850; 0.300
3724,"12-13 Newmarket Walk, Merthyr Tydfil CF47 8EL, UK",PERSON:Newmarket Walk; PERSON:Merthyr Tydfil; PERSON:8EL; LOCATION:UK,PERSON; PERSON; PERSON; LOCATION,0.850; 0.850; 0.850; 0.850
3725,"5 Chestnut Way, Merthyr Tydfil CF47 9SB, UK",PERSON:Merthyr Tydfil; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3726,"30 Victoria St, Dowlais, Merthyr Tydfil CF48 3RN, UK",PERSON:Victoria St; LOCATION:Merthyr; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
3727,"3 Bungalow, Merthyr Tydfil CF48 1AG, UK",LOCATION:Bungalow; LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3728,"5 New Market Walk, Merthyr Tydfil CF47 8EL, UK",PERSON:Merthyr Tydfil; PERSON:8EL; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
3729,"62A High St, Cefn-coed-y-cymmer, Merthyr Tydfil CF48 2PL, UK",LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3730,"High St, Merthyr Tydfil CF47 8DE, United Kingdom",PERSON:Merthyr Tydfil; LOCATION:United Kingdom,PERSON; LOCATION,0.850; 0.850
3731,"Keir Hardie Health Park, Aberdare Rd, Merthyr Tydfil CF48 1BZ, United Kingdom",LOCATION:Merthyr; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
3732,"8 Bridge St, Troedyrhiw, Merthyr Tydfil CF48 4JX, UK",LOCATION:Troedyrhiw; PERSON:Merthyr Tydfil; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
3733,"8 Aberfan Rd, Aberfan, Merthyr Tydfil CF48 4QL, UK",LOCATION:Aberfan; LOCATION:Merthyr; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3734,"36-38 High St, Denbigh LL16 3RY, UK",LOCATION:UK,LOCATION,0.850
3735,"Vulcan House, The Square, Corwen, Denbighshire, Wrexham LL21 0DE, United Kingdom","LOCATION:The Square, Corwen; LOCATION:Denbighshire; LOCATION:Wrexham; LOCATION:0DE; LOCATION:United Kingdom",LOCATION; LOCATION; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850; 0.850
3736,"Canolfan Lechyd Llangollen Health Centre, Bishop's Walk, Llangollen LL20 8RZ, United Kingdom",LOCATION:Llangollen; LOCATION:United Kingdom,LOCATION; LOCATION,0.850; 0.850
3737,"Belmarket Site West, Kinmel St, Rhyl LL18 1DA, UK",LOCATION:Kinmel St; LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3738,"Castle St, Ruthin LL15 1DP, UK",LOCATION:UK,LOCATION,0.850
3739,"38 Well St, Ruthin LL15 1AW, UK",DATE_TIME:38; DATE_TIME:1AW; LOCATION:UK,DATE_TIME; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3740,"Abergele Rd, Bodelwyddan, Rhyl LL18 5SS, UK",PERSON:Abergele Rd; LOCATION:Bodelwyddan; LOCATION:Rhyl; LOCATION:UK,PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850
3741,"37 Vale St, Denbigh LL16 3AH, UK",PERSON:Vale St; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3742,"99 Victoria Rd, Prestatyn LL19 7SR, UK",PERSON:Victoria Rd; PERSON:Prestatyn; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
3743,"22 High St, Denbigh LL16 3RY, UK",LOCATION:UK,LOCATION,0.850
3744,"108 Wellington Rd, Rhyl LL18 1LH, UK",LOCATION:Wellington Rd; LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3745,"165 Meliden Rd, Prestatyn LL19 8NA, UK",PERSON:Meliden Rd; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3746,"41 Ffordd Elan, Rhyl LL18 4HZ, UK",PERSON:Ffordd Elan; LOCATION:Rhyl; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
3747,"82-84 High St, Prestatyn LL19 9BE, UK",LOCATION:UK,LOCATION,0.850
3748,"22 High St, Denbigh LL16 3RY, UK",LOCATION:UK,LOCATION,0.850
3749,"6, Bridge Rd, Prestatyn LL19 9BJ, UK",LOCATION:UK,LOCATION,0.850
3750,"80 Pendyffryn Rd, Rhyl LL18 4RY, UK",PERSON:Pendyffryn Rd; LOCATION:Rhyl; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
3751,"33 Rhyl Coast Rd, Rhyl LL18 3RD, UK",LOCATION:Rhyl Coast Rd; LOCATION:Rhyl; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3752,"83 Vale Rd, Rhyl LL18 2PG, UK",PERSON:Vale Rd; LOCATION:Rhyl; LOCATION:UK,PERSON; LOCATION; LOCATION,0.850; 0.850; 0.850
3753,"The Coach House, The Roe, Saint Asaph LL17 0LU, UK",LOCATION:UK,LOCATION,0.850
3754,"16 High St, Lytchett Matravers, Poole BH16 6BG, UK",PERSON:Poole BH16; DATE_TIME:6BG; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3755,"19 St Helens Rd, Sandford, Wareham BH20 7AX, UK",LOCATION:St Helens Rd; PERSON:Wareham BH20 7AX; LOCATION:UK,LOCATION; PERSON; LOCATION,0.850; 0.850; 0.850
3756,"Dorchester Rd, Wool, Wareham BH20 6EJ, UK",LOCATION:UK,LOCATION,0.850
3757,"216A Wareham Rd, Corfe Mullen, Wimborne BH21 3LN, UK",LOCATION:Wareham Rd; PERSON:Corfe Mullen; LOCATION:Wimborne; LOCATION:3LN; LOCATION:UK,LOCATION; PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850; 0.850
3758,"4 North St, Wareham BH20 4AF, UK",LOCATION:North St; LOCATION:Wareham; LOCATION:UK,LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850
3759,"300 Blandford Rd, Poole BH15 4JQ, UK",LOCATION:UK,LOCATION,0.850
3760,"next to Canford Group Practice, 9 Mitchell Rd, Canford Heath, Poole, Dorset BH17 8UE, United Kingdom",PERSON:Mitchell Rd; PERSON:Canford Heath; LOCATION:Poole; LOCATION:Dorset; LOCATION:United Kingdom,PERSON; PERSON; LOCATION; LOCATION; LOCATION,0.850; 0.850; 0.850; 0.850; 0.850
3761,"66 High St, Sturminster Marshall, Wimborne BH21 4AY, UK",PERSON:Sturminster Marshall; PERSON:Wimborne; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
3762,"697 Blandford Rd, Poole BH16 5ET, UK",PERSON:Blandford Rd; PERSON:Poole; DATE_TIME:5ET; LOCATION:UK,PERSON; PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3763,"Birchwood Medical Centre, Northmead Dr, Poole BH17 7XW, UK",PERSON:Northmead Dr; PERSON:Poole BH17 7XW; LOCATION:UK,PERSON; PERSON; LOCATION,0.850; 0.850; 0.850
3764,"8 Station Rd, Swanage BH19 1AE, UK",LOCATION:Swanage; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3765,"11-13 South St, Wareham BH20 4LR, UK",LOCATION:South St; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
3766,"8 Dorchester Rd, Poole BH16 5ET, UK",PERSON:Poole; DATE_TIME:5ET; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3767,"40 Station Rd, Swanage BH19 1AF, UK",PERSON:Swanage BH19; DATE_TIME:1AF; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3768,"W Quay Rd, Poole BH15 1JQ, UK",PERSON:Poole; DATE_TIME:1JQ; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3769,"117a Longfleet Rd, Poole BH15 2HR, UK",PERSON:Poole; DATE_TIME:2HR; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3770,"315 Wimborne Rd, Poole BH15 3DH, UK",PERSON:Wimborne Rd; PERSON:Poole; DATE_TIME:3DH; LOCATION:UK,PERSON; PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850; 0.850
3771,"138 High St, Poole BH15 1DN, UK",PERSON:Poole; LOCATION:UK,PERSON; LOCATION,0.850; 0.850
3772,"14 Parkstone Rd, Poole BH15 2PG, UK",PERSON:Poole; DATE_TIME:2PG; LOCATION:UK,PERSON; DATE_TIME; LOCATION,0.850; 0.850; 0.850
3773,"3, Adastral Square Playpark, Adastral Rd, Poole BH17 8SA, UK",PERSON:Adastral Square Playpark; PERSON:Adastral Rd; PERSON:Poole BH17 8SA; LOCATION:UK,PERSON; PERSON; PERSON; LOCATION,0.850; 0.850; 0.850; 0.850
3774,"110 Guildhall St N, Folkestone CT20 1ES, UK",LOCATION:Folkestone; LOCATION:UK,LOCATION; LOCATION,0.850; 0.850
